Date,Open,High,Low,Close,AdjClose,Volume,Return,Return5,Return20,SMA5,SMA20,EMA5,EMA20,MACD,MACDSignal,RSI
2021-12-30,36522.480469,36679.441406,36372.128906,36398.078125,36398.078125,205620000,1.00278244564176,1.02068218290493,1.07178696215106,36196.7023438,35590.6679689,36220.1466350761,35782.2237064118,197.158010986401,81.3423888681592,60.1863967381744
2021-12-29,36421.140625,36571.550781,36396.191406,36488.628906,36488.628906,213480000,1.00325461758369,1.02618723252377,1.05023795849485,35990.5484376,35498.49101575,36068.9797181142,35704.3019419288,151.801347212779,52.3884833385988,62.1017080411307
2021-12-28,36302.988281,36527.261719,36302.988281,36398.210938,36398.210938,239090000,1.0096930287256,1.03517267942229,1.03554212900471,35720.2203126,35430.28339855,35892.8992646712,35628.8452384476,102.019969971348,27.5352673700539,66.2141079772341
2021-12-27,35954.480469,36306.609375,35954.480469,36302.378906,36302.378906,244350000,1.00480846697859,1.0207925971592,1.02675130686465,35504.0468752,35366.0195314,35687.8547565069,35557.8828129158,49.0269602999761,8.91409171973021,63.7543982867613
2021-12-23,35782.421875,36060.988281,35782.421875,35950.558594,35950.558594,247420000,1.00819095302303,0.999505937263634,1.01175485894984,35473.1726564,35336.63007825,35554.5419002603,35516.1356912227,16.1599221187062,-1.11412542533125,66.5092096060777
2021-12-22,35491.710938,35764.671875,35433.128906,35753.890625,35753.890625,281930000,1.01203926312038,0.984888276672555,0.992711025770131,35523.9445314,35335.1244142,35440.6019128904,35488.1055666146,-8.50673045621079,-5.4326373113406,54.3712428284991
2021-12-21,35069.5,35508.960938,35069.5,35492.699219,35492.699219,346080000,0.995666896562172,0.986501819529687,0.98454735872438,35535.4726564,35341.53496105,35415.0474003356,35487.7260538372,-10.2669555324683,-4.66411402512306,51.7594314474132
2021-12-20,35222.121094,35222.121094,34665.5,34932.160156,34932.160156,386590000,0.983855125275019,0.989226189999557,0.988513251083579,35642.7187502,35369.63046885,35587.8211005034,35531.749848978,30.6244447743084,-3.26340364828675,59.4172330639147
2021-12-17,35800.109375,35800.109375,35284.261719,35365.441406,35365.441406,750480000,0.9934462750648,0.995583285865903,0.997798704779207,35790.080469,35402.47890635,35770.6711037551,35564.342349502,66.831692398242,-11.7353657539355,57.8463513161618
2021-12-16,36036.28125,36189.828125,35778.210938,35897.640625,35897.640625,473620000,1.01369728744945,1.00574176127678,1.00374884409979,35796.1687502,35407.5580079,35755.9519681327,35539.5247678706,53.2234934106236,-31.3771302919799,47.5638769059531
